=============================================
 Benchmark Results: Mon Apr 18 20:05:26 2022
 Program: ..\vm\benchmarks\circles_s.bin
 VM Mode: Stack
 Decoding: Bitmask

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1     1852.640800       -1.778017
     2     1849.619400       -4.799417
     3     1849.908400       -4.510417
     4     1850.835600       -3.583217
     5     1851.726900       -2.691917
     6     1852.255600       -2.163217
     7     1850.914600       -3.504217
     8     1849.919800       -4.499017
     9     1850.268000       -4.150817
    10     1849.631600       -4.787217
    11     1850.174100       -4.244717
    12     1852.200600       -2.218217
    13     1850.110700       -4.308117
    14     1849.086300       -5.332517
    15     1850.175300       -4.243517
    16     1851.316900       -3.101917
    17     1851.730400       -2.688417
    18     1852.188000       -2.230817
    19     1850.862800       -3.556017
    20     1850.789300       -3.629517
    21     1849.833900       -4.584917
    22     1851.391600       -3.027217
    23     1850.491400       -3.927417
    24     1849.959800       -4.459017
    25     1850.402200       -4.016617
    26     1850.004500       -4.414317
    27     1849.914600       -4.504217
    28     1850.604800       -3.814017
    29     1850.438800       -3.980017
    30     1850.245300       -4.173517
    31     1851.398900       -3.019917
    32     1850.786700       -3.632117
    33     1855.167500        0.748683
    34     1850.936100       -3.482717
    35     1850.569700       -3.849117
    36     1851.013900       -3.404917
    37     1849.000300       -5.418517
    38     1849.570800       -4.848017
    39     1854.729200        0.310383
    40     1851.794200       -2.624617
    41     1850.963300       -3.455517
    42     1850.892500       -3.526317
    43     1850.779000       -3.639817
    44     1851.063000       -3.355817
    45     1850.499900       -3.918917
    46     1850.835600       -3.583217
    47     1851.403500       -3.015317
    48     1850.865600       -3.553217
    49     1851.395700       -3.023117
    50     1851.463800       -2.955017
    51     1850.200000       -4.218817
    52     1848.981600       -5.437217
    53     1849.815300       -4.603517
    54     1849.698500       -4.720317
    55     1852.306800       -2.112017
    56     1854.439900        0.021083
    57     1854.684300        0.265483
    58     1853.960700       -0.458117
    59     1854.260500       -0.158317
    60     1857.380500        2.961683
    61     1854.884800        0.465983
    62     1853.956600       -0.462217
    63     1853.611500       -0.807317
    64     1854.789100        0.370283
    65     1854.313500       -0.105317
    66     1853.837900       -0.580917
    67     1853.585900       -0.832917
    68     1854.745500        0.326683
    69     1854.825300        0.406483
    70     1854.105100       -0.313717
    71     1857.986000        3.567183
    72     1854.366800       -0.052017
    73     1853.287500       -1.131317
    74     1854.208700       -0.210117
    75     1854.245900       -0.172917
    76     1853.395100       -1.023717
    77     1856.829600        2.410783
    78     1853.851800       -0.567017
    79     1854.314900       -0.103917
    80     1854.470800        0.051983
    81     1855.825500        1.406683
    82     1854.557700        0.138883
    83     1854.238800       -0.180017
    84     1855.029600        0.610783
    85     1854.799200        0.380383
    86     1853.854400       -0.564417
    87     1854.111900       -0.306917
    88     1854.375500       -0.043317
    89     1854.511000        0.092183
    90     1854.351800       -0.067017
    91     1853.658300       -0.760517
    92     1853.431500       -0.987317
    93     1853.495200       -0.923617
    94     1854.456000        0.037183
    95     1857.726500        3.307683
    96     1857.475400        3.056583
    97     1857.740600        3.321783
    98     1854.829800        0.410983
    99     1855.629900        1.211083
   100     1854.774100        0.355283
   101     1855.134000        0.715183
   102     1853.509300       -0.909517
   103     1853.516800       -0.902017
   104     1854.241100       -0.177717
   105     1855.236500        0.817683
   106     1854.789200        0.370383
   107     1854.891100        0.472283
   108     1854.417600       -0.001217
   109     1858.115200        3.696383
   110     1854.643100        0.224283
   111     1855.064200        0.645383
   112     1854.683900        0.265083
   113     1854.315100       -0.103717
   114     1856.584900        2.166083
   115     1858.408900        3.990083
   116     1857.494500        3.075683
   117     1854.088600       -0.330217
