Run,Elapsed,Dev. from mean,
1,1829.261600,1.678734,
2,1824.321800,-3.261066,
3,1832.187100,4.604234,
4,1846.104400,18.521534,
5,1863.891300,36.308434,
6,1833.372100,5.789234,
7,1826.669900,-0.912966,
8,1825.802400,-1.780466,
9,1829.168300,1.585434,
10,1832.879500,5.296634,
11,1827.176800,-0.406066,
12,1827.280400,-0.302466,
13,1824.295200,-3.287666,
14,1820.968800,-6.614066,
15,1823.466800,-4.116066,
16,1832.282800,4.699934,
17,1822.532700,-5.050166,
18,1830.201600,2.618734,
19,1826.459700,-1.123166,
20,1832.867000,5.284134,
21,1831.599400,4.016534,
22,1827.053800,-0.529066,
23,1825.347600,-2.235266,
24,1823.665600,-3.917266,
25,1824.955700,-2.627166,
26,1822.840200,-4.742666,
27,1828.068600,0.485734,
28,1827.730800,0.147934,
29,1823.814800,-3.768066,
30,1830.171700,2.588834,
31,1826.133000,-1.449866,
32,1831.401800,3.818934,
33,1825.424900,-2.157966,
34,1824.537100,-3.045766,
35,1823.659300,-3.923566,
36,1829.286000,1.703134,
37,1829.390900,1.808034,
38,1828.539700,0.956834,
39,1823.257700,-4.325166,
40,1830.660100,3.077234,
41,1828.756700,1.173834,
42,1826.736900,-0.845966,
43,1826.021800,-1.561066,
44,1826.827000,-0.755866,
45,1822.298600,-5.284266,
46,1825.465500,-2.117366,
47,1823.535200,-4.047666,
48,1826.105100,-1.477766,
49,1839.187600,11.604734,
50,1832.781200,5.198334,
51,1826.001100,-1.581766,
52,1822.795300,-4.787566,
53,1829.328400,1.745534,
54,1831.393800,3.810934,
55,1824.423300,-3.159566,
56,1827.166800,-0.416066,
57,1831.378100,3.795234,
58,1824.997000,-2.585866,
59,1824.278900,-3.303966,
60,1827.839800,0.256934,
61,1825.216700,-2.366166,
62,1826.187100,-1.395766,
63,1828.007500,0.424634,
64,1825.985100,-1.597766,
65,1828.819500,1.236634,
66,1826.597400,-0.985466,
67,1826.250100,-1.332766,
68,1824.439100,-3.143766,
69,1824.350100,-3.232766,
70,1827.997100,0.414234,
71,1827.633900,0.051034,
72,1824.835100,-2.747766,
73,1823.648700,-3.934166,
74,1826.857200,-0.725666,
75,1828.439800,0.856934,
76,1828.495900,0.913034,
77,1826.413800,-1.169066,
78,1828.832900,1.250034,
79,1828.038300,0.455434,
80,1829.998700,2.415834,
81,1833.048400,5.465534,
82,1828.346500,0.763634,
83,1824.457900,-3.124966,
84,1829.520800,1.937934,
85,1823.108000,-4.474866,
86,1825.395100,-2.187766,
87,1827.347400,-0.235466,
88,1823.352200,-4.230666,
89,1823.940900,-3.641966,
90,1827.301100,-0.281766,
91,1826.482100,-1.100766,
92,1826.237100,-1.345766,
93,1827.562700,-0.020166,
94,1824.710700,-2.872166,
95,1820.557700,-7.025166,
96,1828.615000,1.032134,
97,1826.704400,-0.878466,
98,1830.201400,2.618534,
99,1823.355800,-4.227066,
100,1824.950400,-2.632466,
