=============================================
 Benchmark Results: Sun Apr 17 20:17:44 2022
 Program: ../vm/benchmarks/circles_r.bin
 VM Mode: Register
 Decoding: Union

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1      965.333300        3.993162
     2      956.507000       -4.833138
     3      966.312600        4.972462
     4      959.229900       -2.110238
     5      960.335600       -1.004538
     6      958.839300       -2.500838
     7      961.019800       -0.320338
     8      961.674000        0.333862
     9      960.763000       -0.577138
    10      961.461800        0.121662
    11      958.822200       -2.517938
    12      961.223300       -0.116838
    13      963.293100        1.952962
    14      965.111400        3.771262
    15      961.496900        0.156762
    16      960.888000       -0.452138
    17      960.860900       -0.479238
    18      958.812700       -2.527438
    19      961.605600        0.265462
    20      959.135800       -2.204338
    21      960.818600       -0.521538
    22      960.710800       -0.629338
    23      958.722800       -2.617338
    24      964.248000        2.907862
    25      963.045500        1.705362
    26      959.022300       -2.317838
    27      962.517800        1.177662
    28      958.626800       -2.713338
    29      961.116700       -0.223438
    30      961.166000       -0.174138
    31      964.744100        3.403962
    32      957.104400       -4.235738
    33      964.486300        3.146162
    34      966.643200        5.303062
    35      962.674900        1.334762
    36      956.907200       -4.432938
    37      957.188500       -4.151638
    38      962.440900        1.100762
    39      959.695600       -1.644538
    40      958.964700       -2.375438
    41      956.842600       -4.497538
    42      959.064900       -2.275238
    43      958.692000       -2.648138
    44      960.834000       -0.506138
    45      964.570800        3.230662
    46      956.920600       -4.419538
    47      959.544100       -1.796038
    48      958.011400       -3.328738
    49      959.154300       -2.185838
    50      959.418500       -1.921638
    51      960.953100       -0.387038
    52      959.383100       -1.957038
    53      958.211500       -3.128638
    54      960.990000       -0.350138
    55      961.906700        0.566562
    56      958.890700       -2.449438
    57      956.817300       -4.522838
    58      960.769100       -0.571038
    59      968.110000        6.769862
    60      964.798100        3.457962
    61      962.208600        0.868462
    62      960.012900       -1.327238
    63      961.703300        0.363162
    64      962.699700        1.359562
    65      963.145500        1.805362
    66      965.068900        3.728762
    67      962.385300        1.045162
    68      963.098700        1.758562
    69      962.830400        1.490262
    70      964.601300        3.261162
    71      963.895200        2.555062
    72      962.624900        1.284762
    73      960.790400       -0.549738
    74      958.885100       -2.455038
    75      960.718500       -0.621638
    76      967.731900        6.391762
    77      966.074000        4.733862
    78      965.532400        4.192262
    79      963.678400        2.338262
    80      964.367000        3.026862
    81      960.494000       -0.846138
    82      964.531500        3.191362
    83      960.869200       -0.470938
    84      962.657100        1.316962
    85      957.128100       -4.212038
    86      960.810900       -0.529238
    87      960.732300       -0.607838
    88      962.380000        1.039862
    89      960.841200       -0.498938
    90      962.139800        0.799662
    91      957.205300       -4.134838
    92      956.867500       -4.472638
    93      958.958600       -2.381538
    94      957.597000       -3.743138
    95      965.864200        4.524062
    96      961.140000       -0.200138
    97      966.931200        5.591062
    98      961.079800       -0.260338
    99      961.185200       -0.154938
   100      965.094400        3.754262
---------------------------------------------

  Mean run time:      961.340138 ms.
  Standard deviation: 2.753429.
=============================================
