=============================================
 Benchmark Results: Mon Apr 18 20:18:07 2022
 Program: ..\vm\benchmarks\circles_s.bin
 VM Mode: Stack
 Decoding: Union

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1     1875.781900       -5.329926
     2     1875.620900       -5.490926
     3     1879.520700       -1.591126
     4     1878.185000       -2.926826
     5     1877.637900       -3.473926
     6     1877.590700       -3.521126
     7     1877.836300       -3.275526
     8     1881.621700        0.509874
     9     1881.763300        0.651474
    10     1879.868500       -1.243326
    11     1882.493700        1.381874
    12     1880.352400       -0.759426
    13     1883.273200        2.161374
    14     1879.802000       -1.309826
    15     1878.884700       -2.227126
    16     1879.649200       -1.462626
    17     1883.609300        2.497474
    18     1879.771800       -1.340026
    19     1881.513800        0.401974
    20     1881.074500       -0.037326
    21     1883.956800        2.844974
    22     1880.031400       -1.080426
    23     1880.851200       -0.260626
    24     1884.342700        3.230874
    25     1880.773300       -0.338526
    26     1880.922600       -0.189226
    27     1880.008200       -1.103626
    28     1881.520800        0.408974
    29     1880.426300       -0.685526
    30     1879.287400       -1.824426
    31     1879.241500       -1.870326
    32     1882.137900        1.026074
    33     1879.249200       -1.862626
    34     1879.715300       -1.396526
    35     1883.944700        2.832874
    36     1879.959900       -1.151926
    37     1880.017500       -1.094326
    38     1880.436700       -0.675126
    39     1880.319400       -0.792426
    40     1886.489400        5.377574
    41     1880.932900       -0.178926
    42     1880.821400       -0.290426
    43     1881.153800        0.041974
    44     1881.077300       -0.034526
    45     1883.827000        2.715174
    46     1878.976000       -2.135826
    47     1878.721600       -2.390226
    48     1878.894700       -2.217126
    49     1880.969200       -0.142626
    50     1880.209800       -0.902026
    51     1881.552700        0.440874
    52     1879.599400       -1.512426
    53     1878.937300       -2.174526
    54     1879.896100       -1.215726
    55     1879.328500       -1.783326
    56     1881.988000        0.876174
    57     1879.715400       -1.396426
    58     1879.867200       -1.244626
    59     1882.671700        1.559874
    60     1881.348700        0.236874
    61     1881.542000        0.430174
    62     1881.328900        0.217074
    63     1880.583100       -0.528726
    64     1880.883900       -0.227926
    65     1881.217700        0.105874
    66     1881.829900        0.718074
    67     1883.642400        2.530574
    68     1890.615700        9.503874
    69     1894.770300       13.658474
    70     1880.842900       -0.268926
    71     1880.691300       -0.420526
    72     1884.458300        3.346474
    73     1880.705700       -0.406126
    74     1885.400000        4.288174
    75     1880.168100       -0.943726
    76     1879.796100       -1.315726
    77     1882.224800        1.112974
    78     1880.422800       -0.689026
    79     1879.946300       -1.165526
    80     1880.434500       -0.677326
    81     1879.842600       -1.269226
    82     1881.049000       -0.062826
    83     1883.241000        2.129174
    84     1880.114400       -0.997426
    85     1879.135300       -1.976526
    86     1879.223300       -1.888526
    87     1880.657600       -0.454226
    88     1884.558800        3.446974
    89     1880.749900       -0.361926
    90     1879.846100       -1.265726
    91     1880.473700       -0.638126
    92     1881.222800        0.110974
    93     1881.416900        0.305074
    94     1879.875800       -1.236026
    95     1880.548700       -0.563126
    96     1880.481800       -0.630026
    97     1880.578300       -0.533526
    98     1879.421700       -1.690126
    99     1882.376500        1.264674
   100     1880.592500       -0.519326
   101     1879.939200       -1.172626
   102     1880.455400       -0.656426
   103     1880.122600       -0.989226
   104     1882.826200        1.714374
   105     1879.905600       -1.206226
   106     1879.954800       -1.157026
   107     1880.121900       -0.989926
   108     1880.416000       -0.695826
   109     1881.779200        0.667374
   110     1881.797600        0.685774
   111     1881.031600       -0.080226
   112     1881.111000       -0.000826
   113     1885.267700        4.155874
   114     1885.711300        4.599474
   115     1883.499700        2.387874
   116     1882.136200        1.024374
   117     1880.892200       -0.219626
   118     1881.146000        0.034174
   119     1881.249300        0.137474
   120     1882.724700        1.612874
   121     1880.238000       -0.873826
   122     1880.966500       -0.145326
   123     1880.913800       -0.198026
   124     1881.495400        0.383574
   125     1880.464200       -0.647626
   126     1880.432100       -0.679726
   127     1881.538700        0.426874
   128     1906.294000       25.182174
   129     1889.330800        8.218974
   130     1880.183300       -0.928526
   131     1880.215000       -0.896826
   132     1880.493200       -0.618626
   133     1880.029200       -1.082626
   134     1880.178300       -0.933526
   135     1880.576700       -0.535126
   136     1880.986400       -0.125426
   137     1882.154300        1.042474
   138     1880.379100       -0.732726
   139     1880.578200       -0.533626
   140     1880.525500       -0.586326
   141     1880.739500       -0.372326
   142     1879.726600       -1.385226
   143     1879.059300       -2.052526
   144     1880.054000       -1.057826
   145     1880.481900       -0.629926
   146     1880.146700       -0.965126
   147     1880.645100       -0.466726
   148     1880.293600       -0.818226
   149     1881.402300        0.290474
   150     1880.745300       -0.366526
