Run,Elapsed,Dev. from mean,
1,1856.126400,2.974549,
2,1856.433100,3.281249,
3,1859.857400,6.705549,
4,1851.251400,-1.900451,
5,1854.453000,1.301149,
6,1855.592300,2.440449,
7,1856.704700,3.552849,
8,1856.772300,3.620449,
9,1857.445400,4.293549,
10,1853.449900,0.298049,
11,1846.506800,-6.645051,
12,1853.310000,0.158149,
13,1854.415900,1.264049,
14,1856.308300,3.156449,
15,1850.178700,-2.973151,
16,1855.544000,2.392149,
17,1851.816000,-1.335851,
18,1851.121300,-2.030551,
19,1860.726900,7.575049,
20,1849.548300,-3.603551,
21,1846.660200,-6.491651,
22,1856.734500,3.582649,
23,1856.785100,3.633249,
24,1856.689200,3.537349,
25,1850.541100,-2.610751,
26,1852.466700,-0.685151,
27,1854.996300,1.844449,
28,1856.014400,2.862549,
29,1858.999800,5.847949,
30,1858.967900,5.816049,
31,1848.515000,-4.636851,
32,1851.009500,-2.142351,
33,1849.872100,-3.279751,
34,1852.043700,-1.108151,
35,1852.716100,-0.435751,
36,1854.881400,1.729549,
37,1849.727800,-3.424051,
38,1847.488400,-5.663451,
39,1857.120200,3.968349,
40,1851.201100,-1.950751,
41,1852.921100,-0.230751,
42,1850.632500,-2.519351,
43,1853.732400,0.580549,
44,1851.786700,-1.365151,
45,1848.252100,-4.899751,
46,1862.778700,9.626849,
47,1850.489900,-2.661951,
48,1847.048900,-6.102951,
49,1852.176000,-0.975851,
50,1850.439100,-2.712751,
51,1849.744400,-3.407451,
52,1853.494400,0.342549,
53,1851.702500,-1.449351,
54,1851.183700,-1.968151,
55,1848.015500,-5.136351,
56,1853.798500,0.646649,
57,1855.972200,2.820349,
58,1849.422000,-3.729851,
59,1855.927200,2.775349,
60,1851.345600,-1.806251,
61,1855.667700,2.515849,
62,1852.691300,-0.460551,
63,1859.190400,6.038549,
64,1855.714500,2.562649,
65,1849.167500,-3.984351,
66,1846.815800,-6.336051,
67,1852.487200,-0.664651,
68,1852.290900,-0.860951,
69,1850.549000,-2.602851,
70,1851.084000,-2.067851,
71,1850.604100,-2.547751,
72,1859.617600,6.465749,
73,1858.408000,5.256149,
74,1852.999700,-0.152151,
75,1846.744800,-6.407051,
76,1857.546000,4.394149,
77,1852.375800,-0.776051,
78,1850.626600,-2.525251,
79,1856.593300,3.441449,
80,1849.135200,-4.016651,
81,1848.439200,-4.712651,
82,1850.762800,-2.389051,
83,1848.485700,-4.666151,
84,1854.332200,1.180349,
85,1847.651100,-5.500751,
86,1857.104800,3.952949,
87,1854.166900,1.015049,
88,1851.074300,-2.077551,
89,1848.465800,-4.686051,
90,1858.294500,5.142649,
91,1858.219800,5.067949,
92,1854.894000,1.742149,
93,1854.349800,1.197949,
94,1850.917300,-2.234551,
95,1857.441500,4.289649,
96,1849.052900,-4.098951,
97,1850.368300,-2.783551,
98,1855.937800,2.785949,
99,1855.156700,2.004849,
100,1857.904300,4.752449,
