Run,Elapsed,Dev. from mean,
1,891.333700,-0.765675,
2,890.373100,-1.726275,
3,890.587700,-1.511675,
4,890.826300,-1.273075,
5,890.150700,-1.948675,
6,891.335700,-0.763675,
7,890.970000,-1.129375,
8,890.146400,-1.952975,
9,890.244900,-1.854475,
10,891.118800,-0.980575,
11,894.149000,2.049625,
12,889.972500,-2.126875,
13,890.080000,-2.019375,
14,890.027600,-2.071775,
15,890.136000,-1.963375,
16,890.531000,-1.568375,
17,891.101600,-0.997775,
18,890.800600,-1.298775,
19,891.137700,-0.961675,
20,890.348100,-1.751275,
21,890.603500,-1.495875,
22,892.316900,0.217525,
23,894.938600,2.839225,
24,891.333500,-0.765875,
25,891.692800,-0.406575,
26,891.444300,-0.655075,
27,891.282900,-0.816475,
28,891.565300,-0.534075,
29,891.092200,-1.007175,
30,890.735000,-1.364375,
31,890.646700,-1.452675,
32,893.436800,1.337425,
33,892.243300,0.143925,
34,892.596600,0.497225,
35,891.463200,-0.636175,
36,895.764300,3.664925,
37,890.962100,-1.137275,
38,898.357000,6.257625,
39,891.364000,-0.735375,
40,891.131100,-0.968275,
41,892.032000,-0.067375,
42,891.832700,-0.266675,
43,891.618600,-0.480775,
44,892.651700,0.552325,
45,895.099500,3.000125,
46,891.930600,-0.168775,
47,891.884100,-0.215275,
48,891.790200,-0.309175,
49,891.748800,-0.350575,
50,891.507400,-0.591975,
51,891.370400,-0.728975,
52,891.960000,-0.139375,
53,891.345500,-0.753875,
54,891.702500,-0.396875,
55,892.022500,-0.076875,
56,893.735100,1.635725,
57,893.906100,1.806725,
58,890.876200,-1.223175,
59,891.609400,-0.489975,
60,892.194400,0.095025,
61,891.078700,-1.020675,
62,892.147600,0.048225,
63,891.004600,-1.094775,
64,891.540900,-0.558475,
65,891.276800,-0.822575,
66,891.105400,-0.993975,
67,891.021600,-1.077775,
68,895.474600,3.375225,
69,891.759100,-0.340275,
70,891.332100,-0.767275,
71,891.458400,-0.640975,
72,891.289200,-0.810175,
73,891.489600,-0.609775,
74,891.056600,-1.042775,
75,896.880400,4.781025,
76,891.050300,-1.049075,
77,891.797500,-0.301875,
78,891.156600,-0.942775,
79,895.063200,2.963825,
80,891.471500,-0.627875,
81,891.234700,-0.864675,
82,891.375400,-0.723975,
83,890.899700,-1.199675,
84,891.436700,-0.662675,
85,890.579900,-1.519475,
86,891.412100,-0.687275,
87,891.509300,-0.590075,
88,891.486700,-0.612675,
89,891.787500,-0.311875,
90,894.803900,2.704525,
91,890.930900,-1.168475,
92,891.726000,-0.373375,
93,891.039500,-1.059875,
94,891.638500,-0.460875,
95,891.257100,-0.842275,
96,891.780000,-0.319375,
97,892.103700,0.004325,
98,891.578200,-0.521175,
99,894.659800,2.560425,
100,891.892100,-0.207275,
101,892.100900,0.001525,
102,891.453000,-0.646375,
103,890.610600,-1.488775,
104,891.403900,-0.695475,
105,891.239500,-0.859875,
106,890.847600,-1.251775,
107,893.897000,1.797625,
108,891.464500,-0.634875,
109,891.171300,-0.928075,
110,890.989100,-1.110275,
111,891.227900,-0.871475,
112,891.041900,-1.057475,
113,894.438900,2.339525,
114,891.554700,-0.544675,
115,891.496200,-0.603175,
116,891.414600,-0.684775,
117,891.359500,-0.739875,
118,891.734400,-0.364975,
119,891.035100,-1.064275,
120,891.311300,-0.788075,
121,891.851000,-0.248375,
122,890.976900,-1.122475,
123,891.353300,-0.746075,
124,894.800300,2.700925,
125,891.251900,-0.847475,
126,891.541800,-0.557575,
127,891.736900,-0.362475,
128,892.346600,0.247225,
129,891.873600,-0.225775,
130,891.702000,-0.397375,
131,891.490600,-0.608775,
132,891.642500,-0.456875,
133,891.438900,-0.660475,
134,891.606200,-0.493175,
135,894.642900,2.543525,
136,892.019800,-0.079575,
137,891.279700,-0.819675,
138,891.171300,-0.928075,
139,891.926800,-0.172575,
140,891.609500,-0.489875,
141,891.254500,-0.844875,
142,892.047000,-0.052375,
143,891.510300,-0.589075,
144,891.404100,-0.695275,
145,891.414000,-0.685375,
146,891.694000,-0.405375,
147,894.751800,2.652425,
148,891.411100,-0.688275,
149,891.126000,-0.973375,
150,891.094100,-1.005275,
151,891.600100,-0.499275,
152,891.321000,-0.778375,
153,890.905000,-1.194375,
154,891.234700,-0.864675,
155,891.839100,-0.260275,
156,891.403300,-0.696075,
157,891.778200,-0.321175,
158,895.162800,3.063425,
159,891.888800,-0.210575,
160,891.948000,-0.151375,
161,892.693300,0.593925,
162,891.515000,-0.584375,
163,891.763500,-0.335875,
164,891.507300,-0.592075,
165,891.785100,-0.314275,
166,891.698900,-0.400475,
167,901.666000,9.566625,
168,906.304100,14.204725,
169,900.968000,8.868625,
170,891.320900,-0.778475,
171,891.556300,-0.543075,
172,891.499600,-0.599775,
173,891.321600,-0.777775,
174,891.758300,-0.341075,
175,891.793700,-0.305675,
176,891.458200,-0.641175,
177,891.703700,-0.395675,
178,891.730700,-0.368675,
179,891.735800,-0.363575,
180,892.324400,0.225025,
181,891.841500,-0.257875,
182,891.180400,-0.918975,
183,892.521900,0.422525,
184,891.908400,-0.190975,
185,891.401300,-0.698075,
186,891.666800,-0.432575,
187,891.654800,-0.444575,
188,893.300900,1.201525,
189,893.120200,1.020825,
190,902.362000,10.262625,
191,893.685000,1.585625,
192,893.810200,1.710825,
193,893.785900,1.686525,
194,893.580400,1.481025,
195,893.404700,1.305325,
196,894.163300,2.063925,
197,893.459100,1.359725,
198,892.953000,0.853625,
199,893.295600,1.196225,
200,893.087300,0.987925,
