=============================================
 Benchmark Results: Sun Apr 17 19:34:59 2022
 Program: ../vm/benchmarks/circles_s.bin
 VM Mode: Stack
 Decoding: Bitmask

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1     1376.833600       -1.166263
     2     1376.732500       -1.267363
     3     1375.320100       -2.679763
     4     1381.161000        3.161137
     5     1377.060500       -0.939363
     6     1374.538900       -3.460963
     7     1378.453700        0.453837
     8     1374.820400       -3.179463
     9     1377.709000       -0.290863
    10     1377.669000       -0.330863
    11     1383.992800        5.992937
    12     1383.808200        5.808337
    13     1376.038800       -1.961063
    14     1375.913000       -2.086863
    15     1380.708700        2.708837
    16     1383.194400        5.194537
    17     1376.454000       -1.545863
    18     1389.230800       11.230937
    19     1384.379000        6.379137
    20     1382.711400        4.711537
    21     1381.051500        3.051637
    22     1378.840000        0.840137
    23     1378.218500        0.218637
    24     1378.867400        0.867537
    25     1373.313400       -4.686463
    26     1379.412900        1.413037
    27     1380.125900        2.126037
    28     1379.641900        1.642037
    29     1374.264300       -3.735563
    30     1377.378300       -0.621563
    31     1375.023100       -2.976763
    32     1375.895500       -2.104363
    33     1378.512900        0.513037
    34     1375.121300       -2.878563
    35     1373.491100       -4.508763
    36     1377.046900       -0.952963
    37     1379.148000        1.148137
    38     1379.863500        1.863637
    39     1382.113100        4.113237
    40     1384.454800        6.454937
    41     1383.919700        5.919837
    42     1375.630700       -2.369163
    43     1379.705600        1.705737
    44     1375.413100       -2.586763
    45     1372.936400       -5.063463
    46     1376.315700       -1.684163
    47     1370.583400       -7.416463
    48     1377.045900       -0.953963
    49     1375.323700       -2.676163
    50     1375.428600       -2.571263
    51     1377.483800       -0.516063
    52     1375.157100       -2.842763
    53     1374.244300       -3.755563
    54     1375.631700       -2.368163
    55     1385.698100        7.698237
    56     1373.119000       -4.880863
    57     1374.800600       -3.199263
    58     1375.562100       -2.437763
    59     1375.860600       -2.139263
    60     1377.122700       -0.877163
    61     1377.845100       -0.154763
    62     1379.867400        1.867537
    63     1375.033600       -2.966263
    64     1373.514600       -4.485263
    65     1376.447200       -1.552663
    66     1372.161700       -5.838163
    67     1377.948900       -0.050963
    68     1376.445800       -1.554063
    69     1378.010100        0.010237
    70     1376.416300       -1.583563
    71     1377.707500       -0.292363
    72     1375.750900       -2.248963
    73     1379.131600        1.131737
    74     1384.815300        6.815437
    75     1393.855000       15.855137
    76     1388.729200       10.729337
    77     1379.259500        1.259637
    78     1373.568600       -4.431263
    79     1379.822200        1.822337
    80     1382.068700        4.068837
    81     1385.598800        7.598937
    82     1385.101300        7.101437
    83     1374.203600       -3.796263
    84     1382.580400        4.580537
    85     1373.517500       -4.482363
    86     1375.740700       -2.259163
    87     1379.889000        1.889137
    88     1377.770400       -0.229463
    89     1373.685900       -4.313963
    90     1374.507700       -3.492163
    91     1379.872600        1.872737
    92     1379.356800        1.356937
    93     1379.264400        1.264537
    94     1375.854500       -2.145363
    95     1372.646200       -5.353663
    96     1377.058600       -0.941263
    97     1373.694700       -4.305163
    98     1373.861900       -4.137963
    99     1378.446200        0.446337
   100     1373.439000       -4.560863
---------------------------------------------

  Mean run time:      1377.999863 ms.
  Standard deviation: 4.052993.
=============================================
