=============================================
 Benchmark Results: Mon Apr 18 19:56:44 2022
 Program: ..\vm\benchmarks\circles_r.bin
 VM Mode: Register
 Decoding: Union

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1      892.423900       -0.525710
     2      891.892000       -1.057610
     3      891.445700       -1.503910
     4      891.728100       -1.221510
     5      891.667800       -1.281810
     6      891.810400       -1.139210
     7      892.122200       -0.827410
     8      892.244300       -0.705310
     9      891.955800       -0.993810
    10      893.790700        0.841090
    11      897.435600        4.485990
    12      893.188500        0.238890
    13      892.684600       -0.265010
    14      892.250500       -0.699110
    15      891.858400       -1.091210
    16      893.194800        0.245190
    17      892.288400       -0.661210
    18      891.597500       -1.352110
    19      891.800800       -1.148810
    20      891.175700       -1.773910
    21      891.486500       -1.463110
    22      891.743500       -1.206110
    23      894.837900        1.888290
    24      891.342400       -1.607210
    25      892.545500       -0.404110
    26      892.036800       -0.912810
    27      891.713900       -1.235710
    28      892.103900       -0.845710
    29      891.796100       -1.153510
    30      891.947800       -1.001810
    31      891.549600       -1.400010
    32      892.262600       -0.687010
    33      891.575700       -1.373910
    34      894.966400        2.016790
    35      892.052800       -0.896810
    36      892.609400       -0.340210
    37      891.753100       -1.196510
    38      892.057400       -0.892210
    39      891.499600       -1.450010
    40      891.633700       -1.315910
    41      891.645000       -1.304610
    42      891.752200       -1.197410
    43      891.361900       -1.587710
    44      892.047200       -0.902410
    45      895.143800        2.194190
    46      891.488500       -1.461110
    47      891.998900       -0.950710
    48      892.463000       -0.486610
    49      892.350300       -0.599310
    50      892.232500       -0.717110
    51      892.183100       -0.766510
    52      892.085500       -0.864110
    53      892.928600       -0.021010
    54      892.124600       -0.825010
    55      892.473900       -0.475710
    56      894.428300        1.478690
    57      893.731100        0.781490
    58      892.776200       -0.173410
    59      892.285300       -0.664310
    60      892.719500       -0.230110
    61      893.040100        0.090490
    62      893.039000        0.089390
    63      893.005200        0.055590
    64      893.368100        0.418490
    65      893.182400        0.232790
    66      892.829000       -0.120610
    67      892.878300       -0.071310
    68      895.835800        2.886190
    69      893.039600        0.089990
    70      893.180700        0.231090
    71      892.822900       -0.126710
    72      893.141700        0.192090
    73      893.002100        0.052490
    74      893.006800        0.057190
    75      893.474400        0.524790
    76      892.308200       -0.641410
    77      893.092700        0.143090
    78      895.703900        2.754290
    79      895.629000        2.679390
    80      892.900500       -0.049110
    81      895.524500        2.574890
    82      892.623400       -0.326210
    83      893.365400        0.415790
    84      893.394800        0.445190
    85      892.355400       -0.594210
    86      892.755300       -0.194310
    87      893.307800        0.358190
    88      892.863900       -0.085710
    89      893.162900        0.213290
    90      895.816600        2.866990
    91      892.842600       -0.107010
    92      892.793400       -0.156210
    93      893.261200        0.311590
    94      893.165700        0.216090
    95      893.294300        0.344690
    96      892.942600       -0.007010
    97      892.999000        0.049390
    98      892.800800       -0.148810
    99      893.116700        0.167090
   100      893.106700        0.157090
   101      893.673200        0.723590
   102      895.026000        2.076390
   103      893.595700        0.646090
   104      892.279500       -0.670110
   105      892.887900       -0.061710
   106      893.180000        0.230390
   107      892.836500       -0.113110
   108      895.530400        2.580790
   109      892.957400        0.007790
   110      893.286700        0.337090
   111      893.119500        0.169890
   112      893.001400        0.051790
   113      896.136900        3.187290
   114      892.352500       -0.597110
   115      892.394900       -0.554710
   116      892.314600       -0.635010
   117      892.740000       -0.209610
   118      892.401900       -0.547710
   119      892.365800       -0.583810
   120      893.062600        0.112990
   121      893.206200        0.256590
   122      893.128100        0.178490
   123      892.476300       -0.473310
   124      896.032300        3.082690
   125      892.780000       -0.169610
   126      892.593200       -0.356410
   127      892.880000       -0.069610
   128      895.383400        2.433790
   129      893.556200        0.606590
   130      892.851200       -0.098410
   131      893.153500        0.203890
   132      892.541700       -0.407910
   133      892.363800       -0.585810
   134      892.926800       -0.022810
   135      895.950800        3.001190
   136      893.064800        0.115190
   137      892.899700       -0.049910
   138      893.202400        0.252790
   139      893.082700        0.133090
   140      893.468500        0.518890
   141      892.715900       -0.233710
   142      893.122800        0.173190
   143      892.709900       -0.239710
   144      892.539300       -0.410310
   145      893.405000        0.455390
   146      893.910400        0.960790
   147      894.347300        1.397690
   148      892.586100       -0.363510
   149      892.426900       -0.522710
   150      892.996200        0.046590
   151      892.852800       -0.096810
   152      892.630900       -0.318710
   153      893.237400        0.287790
   154      892.922900       -0.026710
   155      892.766100       -0.183510
   156      892.470900       -0.478710
   157      892.127500       -0.822110
   158      895.779700        2.830090
   159      892.774500       -0.175110
   160      892.689100       -0.260510
   161      892.503100       -0.446510
   162      892.926600       -0.023010
   163      893.096200        0.146590
   164      892.990000        0.040390
   165      892.580800       -0.368810
   166      892.787800       -0.161810
   167      892.901900       -0.047710
   168      892.134500       -0.815110
   169      895.421900        2.472290
   170      892.339800       -0.609810
   171      892.630000       -0.319610
   172      892.189500       -0.760110
   173      892.142500       -0.807110
   174      893.272200        0.322590
   175      892.550500       -0.399110
   176      892.931000       -0.018610
   177      893.113700        0.164090
   178      892.856200       -0.093410
   179      892.462700       -0.486910
   180      895.780400        2.830790
   181      892.860600       -0.089010
   182      892.858900       -0.090710
   183      892.621500       -0.328110
   184      893.262000        0.312390
   185      893.010900        0.061290
   186      892.683800       -0.265810
   187      893.294000        0.344390
   188      893.055600        0.105990
   189      892.680700       -0.268910
   190      892.363600       -0.586010
   191      894.024900        1.075290
   192      894.209200        1.259590
   193      893.071400        0.121790
   194      893.228600        0.278990
   195      893.036100        0.086490
   196      893.117300        0.167690
   197      892.669400       -0.280210
   198      892.894200       -0.055410
   199      892.551500       -0.398110
   200      892.856900       -0.092710
---------------------------------------------

  Mean run time:      892.949610 ms.
  Standard deviation: 1.044188.
=============================================
