=============================================
 Benchmark Results: Sun Apr 17 20:25:41 2022
 Program: ../vm/benchmarks/circles_r.bin
 VM Mode: Register
 Decoding: Bitmask

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1      789.184700        5.158075
     2      786.191400        2.164775
     3      781.168900       -2.857725
     4      787.355900        3.329275
     5      784.483800        0.457175
     6      787.451500        3.424875
     7      785.879300        1.852675
     8      785.314300        1.287675
     9      788.803100        4.776475
    10      785.146200        1.119575
    11      788.884700        4.858075
    12      788.527500        4.500875
    13      787.081300        3.054675
    14      788.462500        4.435875
    15      783.849400       -0.177225
    16      786.968500        2.941875
    17      781.571900       -2.454725
    18      780.712700       -3.313925
    19      781.439400       -2.587225
    20      782.122000       -1.904625
    21      785.216900        1.190275
    22      786.664000        2.637375
    23      784.503400        0.476775
    24      781.931600       -2.095025
    25      784.356500        0.329875
    26      779.193200       -4.833425
    27      785.226900        1.200275
    28      779.441000       -4.585625
    29      785.742600        1.715975
    30      781.926400       -2.100225
    31      786.648800        2.622175
    32      780.894800       -3.131825
    33      781.300300       -2.726325
    34      781.926700       -2.099925
    35      783.093500       -0.933125
    36      783.914700       -0.111925
    37      784.333100        0.306475
    38      778.539300       -5.487325
    39      784.225800        0.199175
    40      784.273700        0.247075
    41      783.457100       -0.569525
    42      790.194200        6.167575
    43      784.910900        0.884275
    44      790.801600        6.774975
    45      784.559600        0.532975
    46      788.159600        4.132975
    47      785.303400        1.276775
    48      784.680700        0.654075
    49      787.095800        3.069175
    50      793.723100        9.696475
    51      784.552000        0.525375
    52      786.764100        2.737475
    53      785.280500        1.253875
    54      783.030500       -0.996125
    55      779.899200       -4.127425
    56      781.152900       -2.873725
    57      778.512700       -5.513925
    58      782.393300       -1.633325
    59      779.196600       -4.830025
    60      785.134200        1.107575
    61      780.691700       -3.334925
    62      780.524700       -3.501925
    63      787.155900        3.129275
    64      779.369300       -4.657325
    65      784.967700        0.941075
    66      782.335300       -1.691325
    67      781.032100       -2.994525
    68      783.928100       -0.098525
    69      786.647600        2.620975
    70      786.752900        2.726275
    71      784.723100        0.696475
    72      784.877000        0.850375
    73      784.122800        0.096175
    74      786.164400        2.137775
    75      784.932800        0.906175
    76      789.768000        5.741375
    77      784.704500        0.677875
    78      787.597400        3.570775
    79      781.026600       -3.000025
    80      782.666300       -1.360325
    81      782.727600       -1.299025
    82      776.981800       -7.044825
    83      781.393400       -2.633225
    84      779.409600       -4.617025
    85      780.629200       -3.397425
    86      787.357000        3.330375
    87      780.549200       -3.477425
    88      785.794000        1.767375
    89      780.780700       -3.245925
    90      780.877900       -3.148725
    91      784.232600        0.205975
    92      783.950100       -0.076525
    93      784.524400        0.497775
    94      783.314700       -0.711925
    95      780.501000       -3.525625
    96      784.527800        0.501175
    97      780.634500       -3.392125
    98      781.456000       -2.570625
    99      783.944700       -0.081925
   100      782.333900       -1.692725
---------------------------------------------

  Mean run time:      784.026625 ms.
  Standard deviation: 3.090474.
=============================================
