=============================================
 Benchmark Results: Sun Apr 17 20:28:37 2022
 Program: ../vm/benchmarks/circles_s.bin
 VM Mode: Stack
 Decoding: Union

   Run    Elapsed (ms)  Dev. from mean
---------------------------------------------
     1     1171.556100        2.267865
     2     1173.787400        4.499165
     3     1169.811900        0.523665
     4     1171.293500        2.005265
     5     1165.927900       -3.360335
     6     1169.478800        0.190565
     7     1167.160600       -2.127635
     8     1169.483400        0.195165
     9     1167.841100       -1.447135
    10     1169.991000        0.702765
    11     1166.615900       -2.672335
    12     1177.487300        8.199065
    13     1168.650500       -0.637735
    14     1169.495700        0.207465
    15     1168.006500       -1.281735
    16     1165.483000       -3.805235
    17     1166.386500       -2.901735
    18     1168.868300       -0.419935
    19     1170.051400        0.763165
    20     1166.523800       -2.764435
    21     1171.428400        2.140165
    22     1168.198300       -1.089935
    23     1170.005400        0.717165
    24     1170.292100        1.003865
    25     1169.303900        0.015665
    26     1165.308400       -3.979835
    27     1173.998700        4.710465
    28     1166.353400       -2.934835
    29     1170.428700        1.140465
    30     1169.315300        0.027065
    31     1169.633900        0.345665
    32     1166.715300       -2.572935
    33     1166.221800       -3.066435
    34     1173.459500        4.171265
    35     1171.947700        2.659465
    36     1172.830500        3.542265
    37     1172.228700        2.940465
    38     1168.369500       -0.918735
    39     1174.019700        4.731465
    40     1168.939800       -0.348435
    41     1169.050700       -0.237535
    42     1168.682400       -0.605835
    43     1164.341700       -4.946535
    44     1167.520900       -1.767335
    45     1174.018500        4.730265
    46     1170.118300        0.830065
    47     1168.465500       -0.822735
    48     1167.634300       -1.653935
    49     1168.110400       -1.177835
    50     1166.696400       -2.591835
    51     1165.792500       -3.495735
    52     1167.819800       -1.468435
    53     1164.608200       -4.680035
    54     1165.486600       -3.801635
    55     1170.687800        1.399565
    56     1167.339200       -1.949035
    57     1171.225500        1.937265
    58     1170.070200        0.781965
    59     1168.111700       -1.176535
    60     1166.177500       -3.110735
    61     1166.211700       -3.076535
    62     1166.815700       -2.472535
    63     1169.652800        0.364565
    64     1170.527500        1.239265
    65     1167.033400       -2.254835
    66     1172.538100        3.249865
    67     1164.521900       -4.766335
    68     1168.750100       -0.538135
    69     1165.917600       -3.370635
    70     1170.500600        1.212365
    71     1172.737200        3.448965
    72     1171.384100        2.095865
    73     1171.241200        1.952965
    74     1167.910000       -1.378235
    75     1166.645600       -2.642635
    76     1164.401000       -4.887235
    77     1167.701200       -1.587035
    78     1169.017600       -0.270635
    79     1176.007200        6.718965
    80     1169.169900       -0.118335
    81     1175.698800        6.410565
    82     1171.656300        2.368065
    83     1172.893000        3.604765
    84     1177.110100        7.821865
    85     1166.173000       -3.115235
    86     1166.406900       -2.881335
    87     1167.416600       -1.871635
    88     1166.110700       -3.177535
    89     1170.915500        1.627265
    90     1172.542000        3.253765
    91     1174.331100        5.042865
    92     1175.288900        6.000665
    93     1168.234200       -1.054035
    94     1167.473800       -1.814435
    95     1169.407800        0.119565
    96     1168.894100       -0.394135
    97     1169.610400        0.322165
    98     1170.652900        1.364665
    99     1166.319400       -2.968835
   100     1168.145900       -1.142335
---------------------------------------------

  Mean run time:      1169.288235 ms.
  Standard deviation: 2.919796.
=============================================
